iter	Passed	Remaining
0	0	36
1	0	35
2	1	33
3	1	31
4	1	32
5	2	33
6	2	32
7	2	32
8	3	32
9	3	33
10	4	32
11	4	32
12	4	32
13	5	32
14	5	31
15	5	30
16	6	30
17	6	29
18	6	29
19	7	29
20	7	29
21	8	28
22	8	28
23	8	27
24	9	27
25	9	27
26	9	26
27	10	26
28	10	25
29	10	25
30	11	25
31	11	24
32	12	24
33	12	24
34	12	24
35	13	23
36	13	23
37	14	22
38	14	22
39	14	22
40	15	21
41	15	21
42	15	21
43	16	20
44	16	20
45	16	19
46	17	19
47	17	19
48	18	18
49	18	18
50	18	18
51	19	17
52	19	17
53	19	16
54	20	16
55	20	16
56	20	15
57	21	15
58	21	15
59	22	14
60	22	14
61	23	14
62	23	13
63	24	13
64	24	13
65	24	12
66	25	12
67	25	12
68	25	11
69	26	11
70	26	10
71	27	10
72	27	10
73	28	9
74	28	9
75	28	9
76	29	8
77	29	8
78	29	7
79	30	7
80	30	7
81	31	6
82	31	6
83	31	6
84	32	5
85	32	5
86	32	4
87	33	4
88	33	4
89	34	3
90	34	3
91	35	3
92	35	2
93	35	2
94	36	1
95	36	1
96	36	1
97	37	0
98	37	0
99	38	0
